user_id,session_id,feedback
3bb37e68-c111-499a-983c-4c92286faefb,3cf1e5c5-fed2-493b-ad98-bb864e7cc08b,was gut
5b18a5e0-acf5-4614-9e42-4d566101afca,02ae586f-a4de-4e27-a50e-4b64c54ba5d2,No double check about symptoms of dead people
5b18a5e0-acf5-4614-9e42-4d566101afca,16416fa5-0640-4e72-88ce-485fae9e87ec,"Was a very good idea to check his toes, did not think about it earlier.
felt like normal length of conversation"
5b18a5e0-acf5-4614-9e42-4d566101afca,4a157663-96a7-43e4-a962-7064e97d3ef2,"Agent suddenly finished the emergency call and I am unsure if it is sending emergency services now or what is happening. Did not ask age, previous sicknesses or any symptoms"
5b18a5e0-acf5-4614-9e42-4d566101afca,4fdf89bb-5a8a-41fb-a572-7bcdc6d49128,Agent not asking any questions for detailed description
5b18a5e0-acf5-4614-9e42-4d566101afca,607a369e-25a3-4d8d-a796-4b652e6a8d06,"I feel like the agent did not really understand that I am too far away to report blooding, breathing issues or serious pain. It just continued to ask questions which felt like coming in a predefined order"
5b18a5e0-acf5-4614-9e42-4d566101afca,65c77e1e-768b-4819-956e-057bc16206c7,"One Delay was 8s about, felt weird not knowing if the prompt was processed or not."
5b18a5e0-acf5-4614-9e42-4d566101afca,94e365cf-eada-4b7f-acae-ea477ad94a89,"Is the emergency service calling agent deciding on sending an emergency car or not? and in case yes, is it always giving the response if it decides to send someone? What is happening if it just tells me ""call processed"" or something similar?"
5b18a5e0-acf5-4614-9e42-4d566101afca,961b8e11-4d17-4c93-a365-f68fec067a02,"Random error sign, but everything worked out."
5b18a5e0-acf5-4614-9e42-4d566101afca,b94aa670-aec0-4183-b426-c91fa82a4126,2nd click for entering survey necessary.
5b18a5e0-acf5-4614-9e42-4d566101afca,c98baaa3-e4c6-4b5b-8910-2c3f282f02d6,"I was only wondering, if the agent understood the issue about the unknown location very well."
5b18a5e0-acf5-4614-9e42-4d566101afca,e0f2c45d-fc06-456b-9511-25dce57a059a,"First time that I got the output ""A Vehicle is on its way to you. Please stand by"", which I would have always expected to be given."
9d5a52e5-464b-49b0-a22b-1b51fc70a311,0522e9c9-de3c-4ff4-bca4-f5eb9ae711b3,"Very detailed questions, felt very well!"
ffd73b55-003b-4028-a3b6-36204d9b3344,3eb85a54-e086-4d95-baed-d5404ab9f006,The information about how to proceed is missing at the end of the conversation
ffd73b55-003b-4028-a3b6-36204d9b3344,4b9c52f9-1da9-46b5-8033-f69a0a6f09b2,The agent doesn't react on the answers.
ffd73b55-003b-4028-a3b6-36204d9b3344,4dd5e3e4-5bda-4d56-a939-769dd7d8b227,The agent does not respond to my answers
ffd73b55-003b-4028-a3b6-36204d9b3344,bb994f3c-9654-43de-8e11-96a5f8804d98,After the decision to send a vehicle there are no further questions. That's not realistic.
